FixationDuration,SaccadeSpeed,BlinkRate,Number of Fixations,Fixation Duration,Average Fixation Duration,Number of Saccades,Saccade Amplitude,Average Saccade Amplitude,"Average Pupil Size (Left, mm)","Average Pupil Size (Right, mm)"
0.0,766.2032770797769,0.0,0.0,0.0,0.0,8.0,204.3208738879405,25.540109235992563,18.596711456790057,21.62901988089947
0.0,486.1730427861061,0.0,0.0,0.0,0.0,6.0,97.23460855722124,16.205768092870205,19.537973810605205,20.708474580252407
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.534603484035195,18.93351192148495
0.0,229.48702978816564,0.0,0.0,0.0,0.0,19.0,145.34178553250493,7.649567659605522,16.090494402112697,15.377587111904862
0.0,56.428441318965376,0.0,0.0,0.0,0.0,1.0,1.8809480439655124,1.8809480439655124,18.902993152561088,18.563787490950034
0.0,85.07460572401237,0.0,0.0,0.0,0.0,14.0,39.70148267120577,2.835820190800412,18.35098936090725,17.728144028099983


0.0,328.17008084065895,0.0,0.0,0.0,0.0,5.0,54.695013473443154,10.93900269468863,15.473274618863712,15.83516779182776
0.0,275.1469759261655,0.0,0.0,0.0,0.0,7.0,64.20096104943862,9.171565864205517,16.874422173931343,16.670772170573308
0.0,120.14711856447008,0.0,0.0,0.0,0.0,6.0,24.029423712894022,4.004903952149004,17.061951855656908,17.01573531065916
0.0,74.26884693469857,0.0,0.0,0.0,0.0,2.0,4.951256462313237,2.4756282311566187,16.68700019900464,17.1078328555566980.0,248.31239004539074,0.0,0.0,0.0,0.0,1.0,8.277079668179692,8.277079668179692,16.81906537823049,16.978751804840122
0.0,97.39432723763642,0.0,0.0,0.0,0.0,1.0,3.2464775745878804,3.2464775745878804,16.77751244598816,16.972697939291237
0.0,119.33273593074462,0.0,0.0,0.0,0.0,1.0,3.977757864358154,3.977757864358154,17.12045122597996,16.90257555440639
0.0,231.21052799359452,0.0,0.0,0.0,0.0,1.0,7.707017599786484,7.707017599786484,16.18591415819205,16.343368877807208
0.0,422.0271833586804,0.0,0.0,0.0,0.0,2.0,28.13514555724536,14.06757277862268,16.557917705283984,16.523090265933032
0.0,178.85924923774405,0.0,0.0,0.0,0.0,1.0,5.9619749745914685,5.9619749745914685,16.579162195554794,16.922632872834892
0.0,245.31265211437665,0.0,0.0,0.0,0.0,2.0,16.35417680762511,8.177088403812554,16.650688726615016,16.740271206185493
0.0,538.5925488834305,0.0,0.0,0.0,0.0,10.0,179.53084962781014,17.953084962781013,16.16966998413723,16.522576726698517
0.0,122.0008927175373,0.0,0.0,0.0,0.0,1.0,4.06669642391791,4.06669642391791,16.808345490979406,16.866812251079786
0.0,285.8788030544003,0.0,0.0,0.0,0.0,4.0,38.1171737405867,9.529293435146675,16.58409622076275,16.303197504291642
